onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	is_downbeat	downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label	note_degree
0	2	0.0	0	1.0	1	1	-1	4	4	1	0.0	A4	69	True	A	0	0	1.0	True	1	Basso	1	1	3.0	0	vi	True	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	F	F	6	None	vi	True	3
0	2	0.0	0	1.0	1	1	-1	4	4	1	0.0	F4	65	True	F	0	0	1.0	True	1	Basso	1	1	3.0	0	vi	True	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	F	F	6	None	vi	True	1
0	2	0.0	0	1.0	1	1	-1	4	4	1	0.0	D4	62	True	D	0	0	1.0	True	1	Basso	1	1	3.0	0	vi	True	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	F	F	6	None	vi	True	6
2	1	1.0	1	0.5	1/2	1	-1	4	4	1	1.0	A4	69	True	A	0	1/4	2.0	True	2	Basso	1	1	3.0	0	vi	False	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	F	F	6	None	vi	True	3
2	1	1.0	1	0.5	1/2	1	-1	4	4	1	1.0	F4	65	True	F	0	1/4	2.0	True	2	Basso	1	1	3.0	0	vi	False	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	F	F	6	None	vi	True	1
2	1	1.0	1	0.5	1/2	1	-1	4	4	1	1.0	D4	62	True	D	0	1/4	2.0	True	2	Basso	1	1	3.0	0	vi	False	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	F	F	6	None	vi	True	6
3	1	1.5	3/2	0.5	1/2	1	-1	4	4	1	1.5	A4	69	True	A	0	3/8	2.5	False	0	Basso	1	1	3.0	0	vi	False	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	F	F	6	None	vi	True	3
3	1	1.5	3/2	0.5	1/2	1	-1	4	4	1	1.5	F4	65	True	F	0	3/8	2.5	False	0	Basso	1	1	3.0	0	vi	False	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	F	F	6	None	vi	True	1
3	1	1.5	3/2	0.5	1/2	1	-1	4	4	1	1.5	D4	62	True	D	0	3/8	2.5	False	0	Basso	1	1	3.0	0	vi	False	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	F	F	6	None	vi	True	6
4	2	2.0	2	1.0	1	1	-1	4	4	1	2.0	A4	69	True	A	0	1/2	3.0	True	3	Basso	1	1	3.0	0	vi	False	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	F	F	6	None	vi	True	3
4	2	2.0	2	1.0	1	1	-1	4	4	1	2.0	F4	65	True	F	0	1/2	3.0	True	3	Basso	1	1	3.0	0	vi	False	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	F	F	6	None	vi	True	1
4	2	2.0	2	1.0	1	1	-1	4	4	1	2.0	D4	62	True	D	0	1/2	3.0	True	3	Basso	1	1	3.0	0	vi	False	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	F	F	6	None	vi	True	6
6	2	3.0	3	1.0	1	1	-1	4	4	1	3.0	C5	72	True	C	0	3/4	4.0	True	4	Basso	1	1	1.0	1	V	True	('C', 'G')	C	C	0	Perfect Fifth	(0, 7)	F	F	5	None	V	True	5
