onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	is_downbeat	downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label	note_degree
0	1440	0.0	0	3.0	3	1	-3	6	8	1	0.0	B-3	58	True	B	-1	0	1.0	True	1	P1-Staff2	1	1	3.0	0	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True	5
0	1440	0.0	0	3.0	3	1	-3	6	8	1	0.0	E-4	63	True	E	-1	0	1.0	True	1	P1-Staff2	1	1	3.0	0	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True	1
0	1440	0.0	0	3.0	3	1	-3	6	8	1	0.0	G4	67	True	G	0	0	1.0	True	1	P1-Staff2	1	1	3.0	0	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True	3
0	240	0.0	0	0.5	1/2	1	-3	6	8	1	0.0	E-2	39	True	E	-1	0	1.0	True	1	P1-Staff2	1	1	3.0	0	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True	1
240	240	0.5	1/2	0.5	1/2	1	-3	6	8	1	0.33299999999999996	E-3	51	True	E	-1	1/8	1.333	False	0	P1-Staff2	1	1	3.0	0	I	False	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True	1
480	240	1.0	1	0.5	1/2	1	-3	6	8	1	0.667	E-3	51	True	E	-1	1/4	1.667	False	0	P1-Staff2	1	1	3.0	0	I	False	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True	1
720	240	1.5	3/2	0.5	1/2	1	-3	6	8	1	1.0	E-3	51	True	E	-1	3/8	2.0	True	2	P1-Staff2	1	1	3.0	0	I	False	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True	1
960	240	2.0	2	0.5	1/2	1	-3	6	8	1	1.3330000000000002	E-3	51	True	E	-1	1/2	2.333	False	0	P1-Staff2	1	1	3.0	0	I	False	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True	1
1200	240	2.5	5/2	0.5	1/2	1	-3	6	8	1	1.6669999999999998	E-3	51	True	E	-1	5/8	2.667	False	0	P1-Staff2	1	1	3.0	0	I	False	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True	1
1440	480	3.0	3	1.0	1	2	-3	6	8	2	2.0	G3	55	True	G	0	0	1.0	True	1	P1-Staff2	1	2	3.0	1	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True	3
1440	480	3.0	3	1.0	1	2	-3	6	8	2	2.0	B-3	58	True	B	-1	0	1.0	True	1	P1-Staff2	1	2	3.0	1	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True	5
1440	480	3.0	3	1.0	1	2	-3	6	8	2	2.0	E-4	63	True	E	-1	0	1.0	True	1	P1-Staff2	1	2	3.0	1	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True	1
